Strain,Lean,Sweet,Strawberry,Earthy,Cheese,Sage,Honey,Rose,Tree,Violet,Coffee,Pear,Spicy/Herbal,Tropical,Pungent,Tea,Apricot,Mint,Pepper,Flowery,Ammonia,Blueberry,Berry,Chemical,Pine,Woody,Lime,Plum,Nutty,Fruit,Citrus,Orange,Mango,Diesel,Lemon,Pineapple,Apple,Grape,Menthol,Chestnut,Skunk,Grapefruit,Blue,Peach,Butter,Lavender,Tar,Tobacco,Vanilla,Eff_Focused,Med_Inflammation,Eff_Dizzy,Eff_Energetic,Eff_Dry_eyes,Med_Lack_of_appetite,Eff_Happy,Eff_Creative,Med_Muscle_spasms,Eff_Sleepy,Med_Stress,Eff_Tingly,Eff_Aroused,Eff_Anxious,Med_Nausea,Med_Fatigue,Med_Cramps,Eff_Uplifted,Eff_Headache,Eff_Talkative,Eff_Paranoid,Eff_Hungry,Eff_Giggly,Med_Depression,Eff_Relaxed,Med_Pain,Med_Seizures,Eff_Euphoric,Med_Spasticity,Med_Eye_pressure,Eff_Dry_mouth,Med_Headaches,Med_Insomnia,Rating_scaled,Num_reviews_scaled,THC_scaled,Strain_type
Abusive OG,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0984182776801406,,0.609934326149292,,0.61955075677239,,,0.56346283620939,1.0,,,0.0369068541300527,,,,,0.0369068541300527,,,0.281731418104695,,0.833449283428412,1.0,0.7363294837901769,,0.480131109611491,,,1.0,0.6410880756922219,0.7713927925420899,0.8886986301369875,0.012091503267973857,0.673202614379085,indica
Acapulco Gold,0.2,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.132562493790742,0.674786353134854,0.6928782679800999,,1.0,0.652419857014771,,,0.9082038685310658,,,0.5914637035452001,0.437418353043428,0.6323137786940201,,0.8403652592828772,,,0.506388084338915,,,1.0,,0.6208056981295059,,0.6691756487154079,,,1.0,,,0.8801989150090426,0.046241830065359465,0.477124183006536,sativa
Ace Killer OG,0.7,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,0.11489361702127698,,0.5,0.765957446808511,1.0,,,,,,,,,,,0.68936170212766,,0.5,0.85531914893617,1.0,,1.0,,,1.0,,0.75,0.9632352941176474,0.002777777777777777,0.8366013071895426,indica
Ace of Spades,0.6,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,0.472882805816938,0.6182699850246021,0.934357240486296,,,0.9662973886770742,1.0,,,0.49153122326775,,,,,0.088366124893071,,,0.720092079706496,,0.674748627255224,1.0,0.7907723026456541,,0.8071002086180851,,,0.914713430282292,,0.7797190330171859,0.7821782178217824,0.025163398692810455,0.477124183006536,hybrid
Aceh,0.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.7674418604651159,,0.0232558139534884,,0.620253164556962,1.0,,,,,,,0.7906976744186051,,0.7441860465116279,,,0.924050632911392,,,0.8987341772151899,1.0,0.607594936708861,0.86046511627907,,,,,1.0,0.8372093023255809,,0.8714285714285726,0.002859477124183007,0.3137254901960784,sativa
Acid,0.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,0.4070080862533689,0.658620689655173,1.0,,0.7586206896551719,0.9948275862068968,,,1.0,,,0.377358490566038,0.72,,,0.37931034482758597,0.415094339622641,,,,,0.8,,,,1.0,,,1.0,0.64,0.12,0.8560606060606051,0.002696078431372549,0.5915032679738563,hybrid
Acid Dough,0.3,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.916666666666667,0.7777777777777779,0.45454545454545403,1.0,0.916666666666667,,,1.0,,,,,0.681818181818182,,,,0.708333333333333,0.7777777777777779,,,0.681818181818182,0.708333333333333,,,,,,1.0,,0.36363636363636404,0.8999999999999999,0.00040849673202614375,,sativa
Afcrack,0.43,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.923076923076923,0.923076923076923,,0.7692307692307689,1.0,1.0,,0.2,,0.818181818181818,,,,,0.1,,,0.272727272727273,0.923076923076923,0.18181818181818202,,,,,1.0,0.18181818181818202,,0.625,0.0008169934640522875,,hybrid
Afghan Big Bud,0.98,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.75,,,,0.16,,1.0,,,,0.923076923076923,,,1.0,0.538461538461539,,,0.3,,,0.04,0.8,,0.384615384615385,,1.0,,0.45,,,0.32,,0.538461538461539,0.7613636363636371,0.002042483660130718,,indica
Afghan Cow,0.25,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,0.90625,0.8965517241379309,,0.8965517241379309,,0.914285714285714,0.8714285714285709,,,1.0,,,,,1.0,,,0.8965517241379309,0.8285714285714281,0.8965517241379309,,,0.90625,,0.90625,,0.914285714285714,,,1.0,,,0.8500000000000001,0.0008169934640522875,0.6405228758169935,sativa
Afghan Diesel,0.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,0.0481283422459893,,0.975935828877005,0.650693568726356,1.0,,,,0.8549810844892809,,,0.0240641711229947,,,,0.6706652126499449,,,0.262032085561497,0.6019629225736101,,0.707440100882724,0.941112322791712,1.0,,0.943293347873501,,,1.0,,0.718789407313997,0.7027027027027026,0.003349673202614379,0.607843137254902,hybrid
Afghan Hawaiian,0.95,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,0.0666666666666667,0.5,,,,,,0.6,1.0,,,0.866666666666667,1.0,,,,,,0.0666666666666667,0.4666666666666671,,1.0,1.0,,,0.5,,,1.0,,1.0,0.7916666666666674,0.0009803921568627449,,indica
Afghan Haze,0.385,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048231511254019296,,0.395498392282958,,0.9428969359331479,1.0,,,1.0,,,0.3376205787781349,,0.8431734317343169,,0.7841225626740951,0.0385852090032154,,,,0.958217270194986,0.8007380073800741,0.8008356545961,0.7730627306273059,,,,,1.0,0.7177121771217709,,0.839622641509435,0.004493464052287581,0.5915032679738563,hybrid
Afghan Kush,0.95,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.29047979130635,,0.606870458702154,0.4545836599334221,0.8132458899194659,,,0.7762803737819142,0.8477422924828171,,,,,,,,0.13745731801448,,0.0884635008516773,0.475089564143399,,0.689003103872893,1.0,1.0,,0.628270525060621,,,1.0,,0.8475680591201091,0.7830500472143525,0.09019607843137256,0.4852941176470588,indica
Afghan Skunk,0.85,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.6814159292035401,,0.823008849557522,0.8504672897196259,0.972850678733032,,,0.731900452488688,1.0,0.582579185520362,,,,,,,0.6637168141592921,,0.0353982300884956,,0.8506787330316741,0.7943925233644861,1.0,0.8504672897196259,,,,,1.0,,0.8878504672897201,0.8500000000000001,0.0041666666666666675,0.542483660130719,indica
Afghan Sour Kush,0.75,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.941176470588235,,,,,1.0,1.0,,,,,0.5714285714285711,,0.5,,0.4666666666666671,,,,,0.633333333333333,,,1.0,,0.535714285714286,1.0,0.535714285714286,0.535714285714286,0.8970588235294126,0.0013888888888888887,,indica
Afghan Widow,0.55,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,0.5517241379310339,,,0.5517241379310339,0.666666666666667,,,,,0.482758620689655,1.0,,,,,0.0769230769230769,,0.517241379310345,,,,,,1.0,,,,1.0,,0.0769230769230769,1.0,,0.0769230769230769,0.9166666666666674,0.0007352941176470588,,hybrid
Afghani,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.304836247801706,,0.6208248996250461,,0.45103678524808005,,0.514474067656441,0.684243571577738,1.0,0.410295271051166,,,,,,,0.155070179513555,,0.180774463284335,,,0.564421691017209,1.0,0.885566888512582,,0.618042777467514,,,1.0,,0.753261134958453,0.8307291666666674,0.040114379084967317,0.5098039215686275,indica
