Strain,Genetics,THC
Candyman Haze,Sativa-dominant (60%),High
Cannalope Haze,Sativa (90-100%),High
Cannalope Kush,Sativa-dominant (70%),High
Cannatonic,Indica/sativa (50/50),High
Cap Peeler,Sativa (90-100%),High
Caprichosa Thai,Sativa-dominant (80%),12-16%
Caramel Autoflowering,Indica-dominant autoflowering,Medium
Caramel Ice,Indica-dominant,16%
Caramelo,Indica-dominant (70%),24-25%
Caribe,Sativa-dominant,20%
Carnival,Sativa-dominant,20-23%
Casey Jones,Sativa-dominant (60%),18-20%
Cash Express,Indica/sativa (50/50),18%
Cataract Kush,Indica (90-100%),Medium
CBD 3D,Sativa-dominant (80%),6-8%
CBD Auto Charlotte’s Angel,Sativa-dominant (80%) autoflowering,0.70%
CBD Auto Compassion Lime,Sativa-dominant autoflowering,8-9%
CBD Auto White Widow,Indica-dominant autoflowering,9-10%
CBD Blue Shark,Indica-dominant (60%),6.50%
CBD Bomb,Indica/sativa,6%
CBD Caramel,Indica-dominant (70%),Low
CBD Charlotte’s Angel,Sativa-dominant,0.70%
CBD ComPassion,Sativa-dominant,8%
CBD Crack Autoflowering,Indica/sativa autoflowering,5-7%
CBD Critical Cure,Indica-dominant (80%),5.50%
CBD Critical Mass,Indica-dominant (80%),5-10%
CBD Divine,Indica-dominant (75%),6-8%
CBD Fix Autoflowering,Sativa-dominant autoflowering,0.80%
CBD Kush,Indica/sativa,8%
CBD Lemon Potion Autoflowering,Indica-dominant autoflowering,Medium
CBD Mango Haze,Sativa-dominant (80%),6-8%
CBD MedGom Autoflowering,Indica/sativa autoflowering,5-10%
CBD MediHaze,Sativa-dominant (80%),6-15%
CBD Nordle,Indica-dominant (80%),5.5-10%
CBD PH,Sativa-dominant (80%),6-8%
CBD Shark Shock,Indica-dominant (80%),6-11%
CBD Skunk Haze,Indica/sativa (50/50),5-12%
CBD Spliff Berry,Indica-dominant (60%),7.60%
CBD Sweet And Sour Widow,Indica-dominant (70%),5-11%
CBD Therapy,Indica/sativa (50/50),0.50%
CBD Yummy,Sativa-dominant (70%),5-15%
CBD-Chronic,Indica/sativa,5.40%
CBD-Enriched Warlock,Indica-dominant,8%
Ceres Kush,Indica (90-100%),Medium
Ceres Skunk,Indica/sativa (50/50),Medium
Channel +,Indica/sativa,15-20%
Chaos Kush,Indica-dominant,High
Charlotte's Web,Indica-dominant,0.30%
Chaze SuperAuto,Sativa-dominant (80%) autoflowering,Medium
Cheddarhead,Sativa-dominant (70%),Medium
Cheese,Indica/sativa (50/50),18-20%
Cheese Auto CBD,Indica/sativa autoflowering,6%
Cheese Autoflowering,Indica-dominant (60%) autoflowering,9-12%
Cheese CBD,Indica/sativa (50/50),7-8%
Cheese Dawg,Indica-dominant (75%),Medium
Cheese N Chong,Sativa-dominant,Medium
Cheese Quake,Indica-dominant (60%),Medium
Cheese XXL Autoflowering,Indica-dominant autoflowering,High
Cheesus,Indica-dominant (60%),Medium
Cheesy Auto CBD,Indica-dominant autoflowering,7-8%
Cheesy Autoflowering,Indica-dominant autoflowering,15%
Cheesy Dick,Indica (90-100%),Medium
Cheesy Rider,Indica-dominant,Medium
Chem 4 OG,Sativa-dominant (60%),Medium
Chem Berry D,Sativa-dominant,25-32%
Chem Beyond Diesel CBD,Indica-dominant (55%),5-12%
Chem Dawg,Indica-dominant (60%),24%
Chem Valley Kush,Indica-dominant,Medium
Chemdog,Indica-dominant (70%),21%
Chemdog Millionaire,Indica-dominant,22%
Chemmy Jones,Indica/sativa (50/50),15-20%
Chernobyl,Sativa-dominant (60%),Medium
Cherry Bomb,Indica-dominant,17-22%
Cherry Bomb Autoflowering,Indica-dominant autoflowering,17-20%
Cherry Bud Autoflowering,Indica-dominant autoflowering,16%
Cherry Cordial,Indica-dominant (65%),Medium
Cherry Malawi,Sativa (90-100%),High
Cherrygasm,Sativa-dominant (70%),Medium
Chicle,Indica-dominant,Medium
Chiesel,Sativa-dominant (60%),Medium
Chiesel Autoflowering,Indica-dominant (80%) autoflowering,Medium
China Yunnan,Indica-dominant (80%),12-18%
Choco Bud,Sativa (90-100%),19%
Choco Candy,Sativa-dominant,21%
Choco Kush Autoflowering,Indica-dominant (70%) autoflowering,21%
Chocolate Chunk,Indica (90-100%),Medium
Chocolate Fondue,Sativa-dominant (80%),Medium
Chocolate Haze,Sativa (90-100%),High
Chocolate Mint OG,Indica-dominant (80%),22-26%
Chocolope,Sativa (90-100%),High
Chocolope Kush,Sativa-dominant (60%),High
Chronic,Indica-dominant,High
Chronic Lights,Indica-dominant,19%
Chronic Ryder,Indica-dominant autoflowering,11.90%
Chronic Thunder,Indica-dominant (80%),Medium
Chunky Cheeze,Indica-dominant,Medium
Cinderella 99,Sativa-dominant,Medium
Citral Skunk,Indica/sativa,19-20%
Citrus Smoothie,Indica-dominant,Medium
Claustrum,Sativa (90-100%),21%
