,Strain,Rating,NumReviews,Strain_description,THC,Lean,Sweet,Strawberry,Earthy,Cheese,Sage,Honey,Rose,Tree,Violet,Coffee,Pear,Spicy/Herbal,Tropical,Pungent,Tea,Apricot,Mint,Pepper,Flowery,Ammonia,Blueberry,Berry,Chemical,Pine,Woody,Lime,Plum,Nutty,Fruit,Citrus,Orange,Mango,Diesel,Lemon,Pineapple,Apple,Grape,Menthol,Chestnut,Skunk,Grapefruit,Blue,Peach,Butter,Lavender,Tar,Tobacco,Vanilla,Eff_Focused,Med_Inflammation,Eff_Dizzy,Eff_Energetic,Eff_Dry_eyes,Med_Lack_of_appetite,Eff_Happy,Eff_Creative,Med_Muscle_spasms,Eff_Sleepy,Med_Stress,Eff_Tingly,Eff_Aroused,Eff_Anxious,Med_Nausea,Med_Fatigue,Med_Cramps,Eff_Uplifted,Eff_Headache,Eff_Talkative,Eff_Paranoid,Eff_Hungry,Eff_Giggly,Med_Depression,Eff_Relaxed,Med_Pain,Med_Seizures,Eff_Euphoric,Med_Spasticity,Med_Eye_pressure,Eff_Dry_mouth,Med_Headaches,Med_Insomnia,Rating_scaled,Num_reviews_scaled,THC_scaled
2636,White Lavender,4.271186441,61,White Lavender is a sativa-dominant cross of White Widow and Lavender bred by G13 Labs. The influence of White Widow genetics adds a heavy coat of trichomes to the potent effects and flowery flavors of Lavender. The combination creates a hybrid that has calming effects led by the uplifting and creative nature associated with sativas. White Lavender produces a euphoric rush of cerebral activity alongside its intense flavor palate that combines hints of spices with fresh fruit.,19,0.375,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0.635379061,0.583850932,0.018018018,,1,0.689440994,0.848375451,,,,1,,,0.018018018,0.683229814,,,0.667870036,0.036036036,,,,,0.850931677,1,,,0.76534296,,,0.45045045,,,0.81779661,0.00498366,0.607843137
2637,White Lightning,4.348314607,90,"Bred by British Columbia Seed Company, White Lightning is an indica-dominant hybrid that combines White Widow and Northern Lights #5. Though counterbalanced by White Widow's hybrid genetics, White Lightning induces a deep indica calm that relieves pain, nausea, and anxiety. Dusted in a heavy coat of sugary trichome crystals, White Lightning has a sweet, fruity aroma with floral, skunky undertones. Among the most common conditions treated with White Lightning are multiple sclerosis, insomnia, anorexia, Parkinson's, and the side effects of chemotherapy. White Lightning flowers in 8 weeks, and grows best in hydroponic systems and sea of green environments.",,0.61,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37136294,,0.61179173,,0.543365543,,0.78069255,0.583195852,1,,,,,,,0.51225548,0.173047473,,0.198315467,,,0.896117524,1,0.896117524,,0.653193495,,,1,,0.849947534,0.837078652,0.007352941,
2638,White Lotus,4.242424242,34,"White Lotus by Bodhi Seed gets its frosting of trichomes from its mother, The White, while the father, Snow Lotus, works to increase size, cannabinoid profile, and overall potency of this strain. The tart, citrus aroma and flavors of lemon and hash draw you in while the relaxing indica effects will help to curb bouts of depression and insomnia.",20,0.5,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.025641026,,0.98,,,0.58,0.539473684,,0.56,0.025641026,,0.5,,,,,,,,0.539473684,0.7,1,,1,,,1,,0.052631579,0.810606061,0.002777778,0.640522876
2639,White Nightmare,4.710280374,108,"Blue Dream's soaring sativa effects and fruity flavors collide with White Moonshine's resinous coat of milky trichomes to produce White Nightmare. The sativa-dominant hybrid brings a forceful, sweet aroma of berries and Haze. The flavor stays true to its Blue Dream genetics but with an earthy, hash-like aftertaste. White Nightmare generates a stimulating stream of euphoria and bliss that elevates the mood and brings with it a comfortable, relaxing body high.",17.5,0.2,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.813635053,,0.629156124,0.954488465,,1,,0.86703661,,0.649610839,,,0.016549649,,,,0.672304346,0.004137412,,0.012412237,,,1,0.650330714,0.572427212,,0.748346429,,,1,,,0.927570093,0.008823529,0.558823529
2640,White OG,4.569620253,81,White OG is an indica-dominant strain that was first bred by Karma Genetics by crossing The White with SFV OG Kush. This indica inherits the telltale kush aroma of earthy pine and lemon as well as The White's heavy trichome coverage. This 2010 and 2014 Cannabis Cup champ is popularly cultivated indoors with a 65 to 75 day flowering time.,20.5,0.5,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.203426124,,0.745182013,,0.811709128,,,,,0.937573815,,,0.689438097,0.849615295,,,0.220556745,,0.169164882,,0.993251223,0.745395197,1,1,,0.939767167,,,1,,0.839123339,0.892405063,0.006617647,0.656862745
2641,White Queen,4.5,40,"White Queen is the more accomplished relative of the infamous White Widow. A connoisseur strain, White Queen is known for its extreme potency. This strain is highly psychoactive and has strong euphoric and energizing effects. The hybrid grows well both indoors and outdoors, typically flowering in 8 to 9 weeks. Though this strain is a great stress buster, novice patients should use caution when trying White Queen. Due to its potency, this is not a strain that allows you to get things done.",23,0.5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,0.205673759,,0.201149425,,0.626436782,1,,,0.236363636,0.744680851,,,,0.236363636,,0.018181818,0.988505747,,,0.798850575,0.787234043,,1,,,0.536363636,,0.765957447,0.875,0.003267974,0.738562092
2642,White Rhino,4.226653696,1068,"White Rhino is a hybrid of White Widow and an unknown North American indica strain, creating a bushy and stout plant. The buds give off a strong and heady high. The plant's parentage hails from Afghanistan, Brazil, and India. White Rhino is one of the best types of marijuana for medicinal use since it has such a high THC content.",19,0.8,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.337417524,,0.311149453,,0.828133037,,,0.531054562,1,,,,,,,,0.182689679,,0.319318079,0.409345101,,0.607232219,1,0.758332513,,0.522874662,,,1,0.466097476,0.70385877,0.806663424,0.087254902,0.607843137
2643,White Romulan,4.322033898,60,"White Romulan, a combination of Romulan and The White, is a balanced hybrid bred by OG Raskal Genetics. A strong spiced aroma accompanies the pungent mix of earthy fruit flavors. The effects are surprisingly energetic but will eventually give way to the deep body relaxing properties typical of indica genetics. White Romulan is a good strain to help stimulate your appetite or relieve stress after a hard day's work.",,0.63,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017857143,,0.089285714,0.981308411,1,,,0.851598174,1,,,0.035714286,,0.735981308,,0.742009132,1,,,0.849315068,,0.742990654,,,,0.99543379,,,0.232142857,0.259345794,,0.830508475,0.004901961,
2644,White Russian,4.352941176,490,"Originally created by Dutch breeders Serious Seeds, White Russian is a cross of two legendary strains, White Widow and AK-47. An indica-dominant hybrid, it won the High Times Cannabis Cup ""Best Overall"" in 1996 and was for a time considered the strongest strain in the world at 22% THC. Presenting remarkable homogeneity for an f1 hybrid, White Russian is an extremely fragrant plant, smelling of sweet fruit and skunk even in its vegetative cycle. With a flavor that is smooth and spicy with undertones of skunk and earth, White Russian's high is quite cerebral (especially for an indica), but can lead to couchlock when over-indulged.",18.25,0.575,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0.381505877,,0.18242724,,0.740196542,0.513286965,,,1,,,,0.203680382,,,0.55009573,0.020537447,,0.36190195,,,0.760312973,0.743585501,0.303058723,,1,,,1,,0.306341189,0.838235294,0.04003268,0.583333333
2645,White Ryder,,0,"White Ryder is Riot Seeds' attempt to create a ruderalis version of White Widow by crossing Buddha Seeds' White Dwarf against Lowryder. By blending two stout, autoflowering plants, Riot Seeds created a potent indica-dominant hybrid that finishes in under 80 days and can easily be hidden from view. Enjoy this flower for anti-anxiety and sleep-inducing effects.",22,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.705882353
2646,White Sangria,4.545454545,22,"White Sangria is the functional indica-dominant hybrid cross of Tahoe Hydro OG and Gelato 45. This strain's buds are bright green with facets of purple throughout and emanate an aroma of pine, citrus, and sweetness. The buzz is happy and uplifting while leaving the body cozy and collected. Its effects are perfect for patients seeking relief from depression, anxiety, and minor physical discomfort. However, with continued use, this strain can take on a semi-sedative quality and lead to more pervasive relaxation.",16,0.57,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,0.754716981,,0.188679245,0.365079365,0.700581395,,,,1,0.540697674,,0.754716981,,0.670634921,,0.808139535,,,0.943396226,,,0.365079365,1,,,0.63372093,,0.341269841,1,,,0.886363636,0.001797386,0.509803922
2647,White Siberian,4.536585366,42,"White Siberian is another dynamic ancestor of the popular White Widow. By infusing it with the vigorous AK-47, Dinafem Seeds has managed to increase the sweet aroma and flavor while leaving just a hint of bitterness. The high CBD content makes it a great choice when suffering from arthritis, PTSD, and chronic pain.",18.5,0.5,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.4375,0.1,,0.3,,0.147540984,,,,0.8125,,,0.2,,,,0.942622951,,0.885245902,0.2,,,0.625,1,1,,0.163934426,,,1,0.375,,0.884146341,0.003431373,0.591503268
2648,White Skunk,4.485714286,36,"White Skunk is an indica-dominant variation of Skunk from Sensi Seeds' White Label. In a demonstration of its heritage, White Skunk delivers a sour, skunky flavor and a balance of effects that ease both mind and body into a relaxed state. Like many Skunk varieties, this resilient strain is a great choice for beginner growers and offers bountiful yields after a short flowering cycle.",21,0.56,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.3875,,0.106060606,,0.090909091,0.362637363,0.529166667,,,,0.450549451,,,,,,,,0.060606061,0.370833333,0.015151515,,,,1,1,,0.7625,,,1,0.351648352,0.406593407,0.871428571,0.002941176,0.673202614
2649,White Slipper,4.448275862,29,"White Slipper is a sativa-dominant hybrid that crosses The White and Glass Slipper, resulting in a relaxing strain perfect for shedding stress. Flavors of blueberry and spicy pepper take over on the inhale, and soon to follow is White Slipper's heavenly euphoria. Its buds grow with shining resin-tipped trichomes that glow with a white luminescence, but let these potent crystals be a warning to novices: White Slipper's THC content often exceeds 25 percent.",,0.385,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222222222,,0.333333333,,0.857142857,0.530612245,,,0.323529412,,,1,,,0.058823529,0.734693878,,,,,,1,0.663265306,0.264705882,,1,,,0.518518519,0.058823529,,0.862068966,0.002369281,
2650,White Smurf,4.363636364,11,"The Cannabis Cup People's Choice winner in 2000, White Smurf is a hybrid strain bred from a Northern Lights x Skunk #1 female and a pure Dutch sativa male. Wonderful smells of fresh citrus fruit will entice you as accents of orange pistils and dusty white resin stand out in a sea of green. This strain is a great choice for social butterflies to lounge out to after a nice dinner.",20,0.5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,0.6,0.666666667,,,,,0.6,,,,0.333333333,,,,,0.333333333,,0.8,,1,,,0.6,0.333333333,,1,,,,,,,,0.840909091,0.000898693,0.640522876
2651,White Strawberry,3,5,"White Strawberry is the flavorful cross of The White and Strawberry Cough. This all-day hybrid blends The White's relaxing physical effects and tertiary gastrointestinal benefits with Strawberry Cough's cerebral stimulation to create a potent hybrid with medicinal utility. The cerebral effects can be rather spacey, making this strain perfect for repetitive tasks, but with continued consumption it supplies a euphoric mental aloofness that can help one shrug off stress and depression.",15,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,0.5,,,,,1,,0.5,,,0.5,,,,,,,0.5,0.5,,0.5,0.000408497,0.477124183
2652,White Tahoe Cookies,4.6,60,"White Tahoe Cookies is an indica-dominant strain created by Kush4Breakfast and distributed by Archive Seed Bank. This strain is a blend of The White, Tahoe OG, and an unknown Girl Scout Cookies cut, and exemplifies attributes of each in trichome coverage, effect, and aroma. The GSC bouquet has been enhanced through this cross, offering up sweeter, hashier notes with distant OG undertones. Its restful effects pile on with each hit, weighing the consumer to their seat while alleviating minor pain and anxiety.",,0.66,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0.558899557,,,0.956205775,,0.785604618,,,0.507031874,0.879800591,,,0.126219162,,,,0.59915249,0.082042456,,0.126219162,,,0.719350074,1,0.759970458,,0.62605171,,,1,,1,0.9,0.004901961,
2653,White Tygh Dream,5,6,"White Tygh Dream is White Tygh Farms' flagship strain. This Afghani landrace was planted and meticulously cultivated in Oregon's Tygh Valley, and it's said to possess archetypal indica-dominant effects and outstanding potency. White Tyge Dream emits a well-rounded bouquet of citrus and earthen, floral notes with a clean, savory finish. This strain has been utilized for minor pain, insomnia, anxiety, and stress, and will inevitably lead you closer to rest with continued consumption.",,0.75,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.857142857,,,,,,0.928571429,,0.833333333,,1,,,,,,,0.785714286,,,,,,,1,1,,0.714285714,0.833333333,,1,,1,1,0.000490196,
2654,White Urkle,4.616438356,73,"White Urkle is a hybrid of Purple Urkle and The White bred by OG Raskal Genetics. Most phenotypes will express themselves with deep violet hues that show the influence of its Purple Urkle mother. This strain is known for having a short stature and a fruity bouquet of flavors that mix with an earthy, pine aroma that gives rise to relaxing yet balanced effects.",,0.51,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,0.462659381,,0.070362473,,0.628997868,0.381267739,0.70856102,,,,1,,,0.117270789,,,,0.489374621,,,0.441364606,,,0.93755913,1,0.989593188,,0.68184578,,,1,,0.731315043,0.904109589,0.005964052,
2655,White Walker Kush,4.333333333,60,"DNA Genetics' White Walker Kush (not to be confused with Whitewalker OG) is a hybrid cross of elite parent strains White Widow (Ingemar cut) and Skywalker. Taking after its White Widow mother, this 60/40 sativa-dominant strain comes blanketed in a snow-like layer of crystal resin. The influence of Skywalker is apparent in White Walker Kush's heavily relaxing effects which are best reserved for a lazy evening in. Boosting both mood and appetite, White Walker Kush is a great choice for patients treating conditions like anorexia or cachexia.",21,0.45,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.055045872,0.61393758,0.431192661,0.5,0.895254382,,,,1,,,,,0.464285714,,0.631466439,0.403669725,,0.082568807,,,0.982142857,1,0.595238095,,0.820436084,,,1,,,0.833333333,0.004901961,0.673202614
2656,White Walrus,2.5,1,"White Walrus is a phenotype of Chernobyl, grown specially by Kushman Veganics for the release of Kevin Smith's film Tusk. This sativa-dominant hybrid, uplifting and mellow in nature, is a limited-time strain available at Los Angeles' Buds & Roses Collective.",15,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,0.5,1,1,,1,1,,,,,,,1,,,1,,,0.375,8.17E-05,0.477124183
2657,White Widow,4.35738255,3685,"Among the most famous strains worldwide is White Widow, a balanced hybrid first bred in the Netherlands by Green House Seeds. A cross between a Brazilian sativa landrace and a resin-heavy South Indian indica,  White Widow has blessed every Dutch coffee shop menu since its birth in the 1990s. Its buds are white with crystal resin, warning you of the potent effects to come. A powerful burst of euphoria and energy breaks through immediately, stimulating both conversation and creativity. White Widow's genetics have given rise to many other legends like White Russian, White Rhino, and Blue Widow. Still, many growers prefer cultivation of the original White Widow, which flowers in about 60 days indoors.",16.5,0.5,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.271458336,,0.525137197,,1,0.670059766,,,1,,,0.249946286,,0.377416291,,0.872589105,,,0.264386037,,,0.863176299,0.923393514,0.600121025,,0.839539623,,,1,,0.488698179,0.839345638,0.301062092,0.526143791
2658,White Zombie,4,62,"White Zombie is a potent hybrid strain with cerebrally-focused effects conducive for creative endeavors and stress relief. While this strain likely contains some Zombie OG genetics, it's also possible that White Zombie's maker was just a diehard Rob Zombie fan. Its euphoric and relaxing effects make it a perfect remedy for anxiety and depression, but come prepared with enough lazy activities: the psychoactivity of this strain is long-lasting.",17,0.5,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.097560976,,1,,1,,,0.8,1,,,,,0.285714286,,,0.012195122,,0.036585366,0.8,,0.535714286,0.96,0.642857143,,0.29,,,0.158536585,,0.321428571,0.75,0.005065359,0.54248366
2659,Whiteout,4.666666667,9,"Parent strains Super Silver Haze and The White were brought together to create this uplifting hybrid strain. Whiteout delivers intense euphoria paired with an alert, focused effect sure to satisfy your daytime needs. These frosty light green buds shimmer in light and will hit you with a pungenst zesty lemon aroma that would be expected of a Super Silver Haze offspring.",19,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,0.979166667,,,,1,,1,0.979166667,,,1,,,,,,,0.979166667,,,,,,1,,,,1,,,0.068181818,,,0.916666667,0.000735294,0.607843137
2660,Whitewalker OG,4.677777778,90,"Whitewalker OG (not to be confused with White Walker Kush) by Gold Coast Collection is an indica variation of the renowned SFV OG Kush. Wrapped in a sparkling coat of crystal trichomes, Whitewalker OG wears its potency like a crown. Not surprisingly, this Los Angeles native earned first place in the 2013 High Times Amsterdam Cannabis Cup and is cherished to this day for its ability to lift the mood with swiftness. Its heavy resin production is treasured by extract artists, and commercial growers will appreciate the high yields offered by this OG phenotype.",,0.73,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0.740134745,,0.696202532,0.537536092,0.82137834,0.296920115,,0.299319728,,,,0.469201155,0.166666667,,0.333333333,,,,1,1,,,,0.571026723,0.867346939,,0.76511955,0.919444444,0.007352941,
2661,Wild Thailand,4.470588235,17,"Wild Thailand is a Thai landrace preserved and sold by World of Seeds. This 100% sativa landrace hails from the Ko Chang archipelago and offers consumers rich citrus flavors and exhilarating physical effects. Its flowers are dressed in bright orange hairs and a thick white coat of trichomes that contrasts dramatically against the deep emerald hue of the foliage. Wild Thailand is profoundly stimulating and should be avoided by those prone to anxiety. But for consumers looking for dizzying euphoria and stimulating physical effects through-and-through, Wild Thailand is the strain for you.",,0.3,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0.202247191,1,0.629213483,,0.689873418,0.5,,,1,,,0.157303371,,0.379310345,0.24137931,0.930379747,,0.873417722,0.629213483,,,0.75862069,,1,,,,,1,,,0.867647059,0.001388889,
2662,Willie Berrie,,0,"Bred by David McDowell of Nerdie Birdie Farms in Port Townsend, Washington, Willie Berrie is a fruity hybrid that crosses a legacy Oregon Blueberry sativa and SSSC Williams Wonder. Buds are dark green with pale hairs, while the flavor and smell are fruity with bubblegum and sour blueberry notes. The high is uplifting and euphoric, leaving you feeling silly and happy.",,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2663,Willie Cheesie,,0,"Created by David McDowell of Port Townsend's Nerdie Birdie Farms, Willie Cheesie is a balanced hybrid that crosses Legacy Skunk, Sativa Cheese, and SSSC Williams Wonder. Buds are a rich dark green with vibrant orange and yellow hairs, while the smell and flavor have a funky cheese aroma with a fruity undertone. Celebrated as a reliever for pain, nausea, and anxiety, this is a great option for anyone seeking relief. Also perfect for novice users, Willie Cheesie will leave users feeling light and cherry.",,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2664,Willie Nelson,4.336,127,"Willie Nelson is a mostly sativa cannabis strain that is lauded for its euphoric, creative effects. The plants are sativa in their growing characteristics and should flower between 10 and 14 weeks. Flowers will be large but somewhat dense. Winner of the 2005 High Times Cannabis Cup in the sativa category, Willie Nelson has a fan base to rival its namesake's. Consumers love that this strain leaves them clear-headed, allowing them to perform artistic or social activities.",20,0.4,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.835329341,0.516304348,,1,0.97754491,,,0.946624804,,,0.081521739,,0.375196232,,0.791916168,1,,0.244565217,,,0.821036107,,1,,1,,,0.89673913,0.601255887,,0.834,0.010375817,0.640522876
2665,Willie's Ghost,,0,"Bred by David McDowell of Nerdie Birdie Farms, Willie's Ghost is a hybrid of Russian Ghost Ruderalis and SSSC Williams Wonder. Buds appear light green in color with hints of purple and short golden hairs. It has a fruity aroma with hash undertones and a sweet flavor similar to bubblegum. A heavy high makes Willie's Ghost the perfect bedtime remedy for those looking to drift into dreamworld.",,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2666,Willy Wonka,4.511111111,49,Willy Wonka is a sativa strain that took third place in the concentrates category of the 2014 Denver Cannabis Cup.,23,0.3,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,0.784103115,,0.022813688,0.460794844,0.988593156,,,0.577873255,,,1,,,0.718631179,0.936619718,0.926056338,,1,0.045627376,0.727175081,,,,0.98943662,,0.947183099,,,,,1,,,0.877777778,0.004003268,0.738562092
2667,Willy's Wonder,4.215246637,225,"Willy's Wonder, or William's Wonder to the more formal, is one of those cannabis strains of legendary status that you'll just have to try to fully appreciate. Indica-dominant with Afghani genetics, Willy's flowers are colorful with all possible hues of green, yellow, and red. The strain's aroma is an equally diverse mix of tropical fruit and citrus that also comes through in its sweet and sour taste. It was originally developed in the 1980s and has only grown in popularity and potency since then. New patients be warned, however, as this strain may be one to work up to.",,0.76,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0.059659091,,0.772727273,0.465116279,1,,,0.489104116,1,,,,,0.472868217,,,0.019886364,,0.022727273,,0.375302663,,0.876513317,0.624806202,,0.742130751,,,1,,0.505426357,0.803811659,0.018382353,
2668,Wolfberry,4.333333333,1,"Wolfberry by Wolf Genetics is “a secret blend of old world genetics that delivers unique flavors and aromas,” as described by the grower. This balanced hybrid cross expresses tall, lanky stalks with fiercely resinous buds that smell of hashish, berries, and mango. Due to the stretchy nature of this plant, structural support may be needed during cultivation. The flavors expressed by the rock hard nugs of Wolfberry are a tasty melange of pine, black pepper, and dried fruit. The delicious flavors lead into Wolfberry's intense mental high, which gradually gives way to relaxing physical effects as the buzz matures.",,0.47,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,1,1,1,,,,,1,,1,,,,1,,1,,,,,,0.5,,0.833333333,8.17E-05,
2669,Wonder Haze,4.25,10,"Wonder Haze is a sativa-dominant hybrid strain that gives the mental cloudiness that haze lovers want along with a body buzz that helps with physical symptoms. This strain is a cross of Willy's Wonder and Super Silver Haze, two strains known for their strong cerebral effects. As time goes on, Wonder Haze mellows into a relaxed state that will make sleep easy.",18,0.4,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,0.2,0.916666667,0.4,0.111111111,1,0.95,,,0.777777778,,,,0.333333333,,,,,,,,,,,1,,0.983333333,,,1,,0.666666667,0.8125,0.000816993,0.575163399
2670,Wonder Kid,4.75,4,"Wonder Kid by Khush Kush is another deep cross of varied indica-dominant genetics. Derived by breeding ((The White x Chemdawg 91) x (Pre 98 Bubba Kush x Chemdawh 91)) x Buffalo Bill, Wonder Kid expresses a varied terpene profile of hash, fuel, and coffee beans. The effects are predominantly sedative, but due to the strain's generous trichome production (and subsequent THC content), Wonder Kid delivers a potent rush that melts off into the limbs, leaving the consumer hungry and relaxed. Utilize this strain to ignite appetite and mute minor aches and pains.",,0.76,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.333333333,0.666666667,,0.666666667,0.333333333,,,0.333333333,,,,,,,,1,,,0.333333333,0.666666667,,,1,,,,1,0.333333333,0.9375,0.000326797,
2671,Wonder Woman,4.463087248,149,"What makes Wonder Woman so wonderful? If you were to ask growers, they would say it's the plant's impressive high yields. If you were to ask users, they would probably cite the length of its sativa dominant buzz. Either way, this strain is a popular lady. Wonder Woman is a possible cross of Ice and another hybrid that can produce both a sativa and an indica dominant plant. Growing-wise, the sativa tends to grow taller than the indica, but both are prized for their very high yields and resilience. On average, plants will flower in 9 to 11 weeks, producing copious amounts of tight little buds that make for easy trimming. The flowers have a mostly skunky smell with notes of fruit and jet fuel that can be stronger or weaker, depending on the plant.",18,0.5,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012453235,0.886473458,0.192109463,,1,,0.446690313,,0.97097178,,,0.151636449,,0.877862396,,0.76606998,0.160976375,,,,,1,0.754715041,0.899587919,,0.861044791,,,1,,,0.865771812,0.012173203,0.575163399
2672,Wonder Woman OG,4.076923077,42,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,1,,,0.561643836,,1,0.56,0.561643836,,,0.589041096,,,0.790322581,,,,0.561643836,,0.790322581,0.06,,0.08,,,,0.838709677,1,,0.951612903,,,1,,,0.769230769,0.003431373,
2673,Wonka's Bubblicious,4.722222222,56,"A sativa-dominant cross between Pandora's Box and Querkle, Wonka's Bubblicious has a taste reminiscent of Bubblicious bubble gum from your childhood. Taste is known to subtly change flavors and tones over the period of two minutes, similar to Wonka's candy (thus the name).",,0.3,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015015015,,0.015015015,0.897959184,1,0.937799043,,,1,,,1,,,,0.95215311,0.003003003,,,,,,0.913875598,0.93877551,,0.95215311,,,0.555555556,0.882653061,0.882653061,0.930555556,0.004575163,
2674,Woody Kush,4.338709677,64,"Don't be quick to underestimate Woody Kush. While everything may seem mild and pleasant at first, after a few minutes the true sedative effects of this strain kick in. Woody Kush is extremely potent and offers great relief from insomnia and muscle pain. A strictly nighttime indica, patients will find themselves fast asleep before they realize it. Woody Kush's heritage comes through in its aroma. Taking after its Master Kush, OG Kush, and Hindu Kush parentage, this strain features a distinct skunk-like scent and a piney flavor.",19,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,0.065190652,,0.070110701,0.124833997,0.112183353,,,1,0.937583001,,,,,,,,0.057810578,0.108564536,0.014760148,,,0.962815405,0.974668275,,,0.092882992,,,1,0.119521912,1,0.834677419,0.005228758,0.607843137
2675,Wookie,4.8,15,"Wookie is a tantalizing cross of Lavender and Appalachia supposedly grown by the renowned seed bank, Bodhi Seeds. This odoriferous combination blends an intensely floral aroma with sour terpenes, creating a unique fragrance that is sure to fill the room. Lavender's happy, relaxed effects press firmly up against Appalachia's dreamy, cerebral effects, making Wookie a whimsical escape from stress.",,0.48,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,0.832369942,1,,0.51734104,,,,0.181818182,,,,,0.090909091,,,0.076923077,,,0.485549133,,0.090909091,1,1,,0.898843931,,,0.301282051,,,0.95,0.00122549,
