Strain,Type,Pct,THC_max,THC_avg
Cannalope Kush,sativa,70% Leaning,22.00%,16.50%
Cannasutra,indica,70% Leaning,23.00%,17.00%
Cannatonic,hybrid,50%,6.00%,3.00%
Capers,indica,90%,19.00%,16.00%
Caramelo,sativa,70% Leaning,31.00%,24.00%
Carl Sagan,sativa,60% Leaning,22.00%,17.00%
Carnival,sativa,75% Leaning,23.00%,18.00%
Casey Jones,sativa,80% Leaning,22.00%,15.00%
Cat Piss,sativa,75% Leaning,20.00%,12.00%
Catfish,sativa,100%,20.00%,17.00%
CBD Kush,indica,60% Leaning,8.00%,4.00%
CBD Shark,indica,80% Leaning,10.00%,10.00%
Central American,sativa,100%,23.00%,17.00%
Champagne Kush,hybrid,50%,15.00%,13.50%
Charlie Sheen,sativa,60% Leaning,24.00%,20.00%
Charlotte's Web,hybrid,50%,1.00%,0.50%
Cheese,indica,80% Leaning,20.00%,14.50%
Cheese Candy,sativa,80% Leaning,20.00%,15.00%
Cheesequake,indica,60% Leaning,22.00%,19.00%
Chem Crush,hybrid,50%,22.00%,20.00%
Chem Willie,sativa,70% Leaning,31.00%,23.00%
Chemdawg,hybrid,55%,22.00%,15.00%
Chemdawg 4,indica,60% Leaning,28.00%,17.00%
Chemdawg Sour Diesel,sativa,60% Leaning,26.00%,18.50%
Chernobyl,sativa,80% Leaning,30.00%,22.00%
Cherries Jubilee,indica,70% Leaning,22.00%,18.00%
Cherry AK-47,sativa,70% Leaning,21.00%,16.00%
Cherry Bomb,hybrid,50%,26.00%,21.00%
Cherry Cookies,hybrid,50%,26.00%,20.00%
Cherry Diesel,hybrid,50%,19.00%,17.00%
Cherry Grapefruit,sativa,60% Leaning,20.00%,20.00%
Cherry Kola,indica,70% Leaning,25.00%,22.00%
Cherry Kush,indica,70% Leaning,18.00%,16.00%
Cherry Limeade,hybrid,50%,26.00%,25.00%
Cherry OG,hybrid,50%,23.00%,18.00%
Cherry Pie,indica,60% Leaning,26.00%,20.00%
Cherry Pie Kush,sativa,70% Leaning,21.00%,21.00%
Cherry Sherbet,indica,70% Leaning,23.00%,21.00%
Cherry Skunk,indica,70% Leaning,22.00%,17.00%
Chiesel,sativa,60% Leaning,17.50%,14.00%
Chiquita Banana,hybrid,50%,34.00%,31.00%
Chloe,sativa,60% Leaning,23.00%,20.00%
Chocolate Chunk,indica,100%,22.00%,16.00%
Chocolate Diesel,sativa,100%,18.00%,13.00%
Chocolate Fondue,sativa,80% Leaning,17.00%,17.00%
Chocolate Hashberry,hybrid,50%,25.00%,20.00%
Chocolate Haze,sativa,80% Leaning,17.00%,14.00%
Chocolate Kush,indica,60% Leaning,28.00%,20.00%
Chocolate Thai,sativa,90%,10.00%,8.00%
Chocolate Thunder ,sativa,90%,15.00%,14.00%
Chocolope,sativa,100%,22.00%,17.00%
Chong Star,hybrid,50%,23.00%,20.00%
Chronic,sativa,60% Leaning,20.00%,14.00%
Chronic Thunder,ERROR,,20.00%,20.00%
Church OG,hybrid,50%,19.00%,19.00%
Cinderella 99,sativa,70% Leaning,22.00%,18.00%
Cindy White,hybrid,50%,22.00%,20.00%
Cinex,sativa,60% Leaning,26.00%,22.00%
Citrus Kush,indica,70% Leaning,18.00%,16.00%
Citrus Punch,sativa,70% Leaning,19.00%,16.00%
Citrus Sap,sativa,70% Leaning,24.00%,20.00%
Cit·Rix,sativa,70% Leaning,23.00%,20.00%
Clementine,sativa,70% Leaning,27.00%,24.00%
Clockwork Orange,hybrid,50%,21.00%,16.00%
Cluster Bomb,hybrid,50%,20.00%,18.00%
Cole Train,indica,60% Leaning,19.00%,15.00%
Colombian Gold,sativa,100%,20.00%,16.00%
Colorado Chem,hybrid,50%,22.00%,20.00%
Confidential Wreck,hybrid,50%,22.00%,22.00%
Conspiracy Kush,indica,70% Leaning,25.00%,14.00%
Cookie Dough,hybrid,50%,25.00%,19.00%
Cookie Jar,indica,70% Leaning,24.00%,22.00%
Cookie Monster,indica,80% Leaning,23.00%,17.00%
Cookie Wreck,ERROR,,20.00%,20.00%
Cookies and Cream,hybrid,50%,25.00%,20.00%
Cookies and Dream,sativa,70% Leaning,24.00%,19.00%
Cookies Kush,indica,70% Leaning,18.00%,17.00%
Copper Kush,hybrid,50%,21.00%,20.00%
Cornbread,indica,80% Leaning,20.00%,17.00%
Cotton Candy Kush,indica,70% Leaning,20.00%,17.00%
Cotton Purple Chem,hybrid,50%,20.00%,20.00%
Cracker Jack,hybrid,50%,20.00%,20.00%
Crazy Miss Hyde,indica,70% Leaning,21.00%,21.00%
Crimea Blue,indica,70% Leaning,18.00%,13.00%
Critical 47,hybrid,50%,18.00%,16.00%
Critical Cheese,hybrid,50%,19.00%,19.00%
Critical Haze,hybrid,50%,21.00%,21.00%
Critical Hog,hybrid,50%,19.00%,19.00%
Critical Jack,sativa,55%,20.00%,16.50%
Critical Kali Mist,sativa,80% Leaning,22.00%,22.00%
Critical Kush,indica,100%,29.00%,20.00%
Critical Mass,indica,80% Leaning,22.00%,19.00%
Critical Plus,hybrid,50%,20.00%,15.00%
Critical Skunk,sativa,60% Leaning,24.00%,20.00%
Critical Widow,sativa,60% Leaning,27.00%,25.00%
Crosswalker,indica,70% Leaning,22.00%,20.00%
Crown OG,indica,100%,28.00%,25.00%
Crown Royale,indica,70% Leaning,22.00%,15.00%
Crypt,hybrid,50%,18.00%,15.00%
Crystal Coma,sativa,70% Leaning,30.00%,23.00%
Custard Cream,indica,70% Leaning,20.00%,18.00%
Cyclops,indica,80% Leaning,20.00%,15.00%
Dairy Queen,hybrid,50%,28.00%,19.00%
Damn Sour,sativa,80% Leaning,22.00%,19.00%
Dance World,indica,75% Leaning,14.00%,13.00%
Dark Side of the Moon,indica,70% Leaning,22.00%,19.00%
DarkStar,indica,100%,16.00%,13.00%
Deadhead OG,sativa,60% Leaning,25.00%,20.00%
Deadwood,hybrid,50%,17.00%,15.00%
Death Bubba,indica,70% Leaning,27.00%,26.00%
Death Star,indica,80% Leaning,26.00%,18.00%
Deep Cheese,indica,80% Leaning,,
Deep Chunk,indica,100%,20.00%,16.00%
Deep Purple,indica,80% Leaning,19.00%,16.00%
Deep Sleep,indica,70% Leaning,20.00%,16.00%
Delahaze,sativa,70% Leaning,18.00%,16.00%
Denver Maple,indica,100%,23.00%,19.00%
Desert Star,hybrid,50%,15.00%,13.00%
Destroyer,sativa,85% Leaning,23.00%,16.00%
Devil Fruit,indica,70% Leaning,30.00%,21.00%
Diablo OG,sativa,60% Leaning,20.00%,15.00%
Diamond OG,indica,75% Leaning,22.00%,17.00%
Diamond Socks,hybrid,50%,24.00%,19.00%
Diesel Duff,sativa,90%,17.00%,14.00%
Dirty Girl,sativa,70% Leaning,28.00%,17.00%
Disney Blue,hybrid,50%,24.00%,21.00%
Dizzy OG,hybrid,50%,22.00%,19.00%
DJ Smoke,sativa,75% Leaning,18.00%,18.00%
Django,hybrid,50%,17.00%,19.00%
Do Si Do,hybrid,50%,30.00%,24.00%
Doctor Doctor ,sativa,100%,3.00%,2.00%
Doctor Jamaica,hybrid,50%,20.00%,18.00%
Dog Shit,sativa,60% Leaning,26.00%,19.00%
Dominator,sativa,70% Leaning,16.00%,12.00%
Domino,indica,60% Leaning,15.00%,14.00%
Don Carlos,indica,60% Leaning,28.00%,26.00%
Donkey Butter,indica,70% Leaning,27.00%,21.00%
Donna OG,hybrid,50%,18.00%,15.00%
Double Barrel OG,hybrid,50%,20.00%,20.00%
Double D,sativa,60% Leaning,21.00%,17.00%
Double Diesel ,sativa,70% Leaning,22.00%,22.00%
Double Dream,sativa,85% Leaning,26.00%,20.00%
Double Dutch,sativa,60% Leaning,18.00%,18.00%
Double Mint,indica,80% Leaning,20.00%,17.00%
Double OG,indica,80% Leaning,26.00%,20.00%
Double Tap,indica,70% Leaning,24.00%,21.00%
Dr. Bubbles,indica,70% Leaning,12.00%,10.00%
Dr. Feelgood,hybrid,50%,20.00%,16.00%
Dr. Funk,indica,80% Leaning,22.00%,18.00%
Dr. Quantum,indica,75% Leaning,27.00%,22.00%
Dr. Who,hybrid,50%,30.00%,20.00%
Dragon OG ,sativa,70% Leaning,28.00%,22.00%
Dreadlock,hybrid,50%,22.00%,20.00%
Dream Beaver,sativa,70% Leaning,26.00%,22.00%
Dream Berry,indica,80% Leaning,20.00%,16.00%
